id,code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
18814,YHU,CYHU,Montr̩al / Saint-Hubert Airport,45.5,-73.6,90,http://www.dashl.ca/,America/Montreal,YMQ,CA,Montr̩al,,,AP
18815,YHY,CYHY,Hay River / Merlyn Carter Airport,60.83957225,-115.78207218686978,541,,America/Yellowknife,YHY,CA,Hay River,,,AP
18816,YHZ,CYHZ,Halifax / Stanfield International Airport,44.8767923,-63.512633,477,http://www.hiaa.ca/,America/Halifax,YHZ,CA,Halifax,Nova Scotia,,AP
18817,YIA,WAHI,Yogyakarta International Airport,-7.89983735,110.05119439547553,24,,Asia/Jakarta,YIA,ID,Srandakan,Daerah Istimewa Yogyakarta,,AP
18818,YIB,CYIB,Atikokan Municipal Airport,48.773680999999996,-91.63782116186894,1408,http://www.atikokaninfo.com/community/transportation/airport/,America/Atikokan,YIB,CA,Atikokan,,,AP
18819,YIC,ZSYC,Yichun Mingyueshan Airport,27.802212400000002,114.30823201252983,430,,Asia/Shanghai,YIC,CN,Yichun,Jiangxi Sheng,,AP
18820,YIE,ZBES,Arxan Yi'ershi Airport,47.31,119.910835,2925,,Asia/Shanghai,YIE,CN,Arxan,Inner Mongolia,,AP
18821,YIF,CYIF,St Augustin Airport,51.209919549999995,-58.65734963137882,20,,America/Blanc-Sablon,YIF,CA,St-Augustin,,,AP
18822,YIG,CAF6,Big Bay Seaplane Base,50.38333,-125.13333,"0",,America/Vancouver,YIG,CA,,,,AP
18823,YIH,ZHYC,Yichang Sanxia Airport,30.5526031,111.48149557919456,673,http://www.sanxiaairport.com/,Asia/Shanghai,YIH,CN,Yichang,Hubei,,AP
18824,YIK,CYIK,Ivujivik Airport,62.416668,-76.083336,126,,America/Montreal,YIK,CA,Ivujivik,,,AP
18825,YIN,ZWYN,Yining Airport,43.9564347,81.32869644640027,"0",,Asia/Shanghai,YIN,CN,Yining,Xinjiang Uygur Zizhiqu,,AP
18826,YIO,CYIO,Pond Inlet Airport,72.68932480000001,-77.96982812022452,181,,America/Iqaluit,YIO,CA,Pond Inlet,,,AP
18827,YIP,KYIP,Willow Run Airport,42.23492795,-83.52605021746999,716,,America/Detroit,DTT,US,Detroit,Michigan,Wayne County,AP
